retain,(v.6),"保留,保持"
retire,(v.6),退休;退役
retreat,(v.7),"撤退,退卻"
revenge,(v.7),替...報仇
revise,(v.6),校訂;更改
reward,(v.6),酬謝;獎勵
rhyme,(v.5),押韻
route,(v.5),給...定路線
ruin,(v.4),毀滅
sacrifice,(v.9),犧牲;獻出
salary,(v.6),給...薪水
scold,(v.5),"罵,責罵"
scratch,(v.7),抓;搔
sculpture,(v.9),雕刻
shelter,(v.7),遮蔽;庇護
shift,(v.5),轉移;移動
shrug,(v.5),聳(肩)
shuttle,(v.7),短程穿梭般運送
site,(v.4),為...選址;設置
sketch,(v.6),寫生;速寫;為...繪草圖
sled,(v.4),乘雪橇
sledge,(v.6),乘雪橇
sleigh,(v.6),駕雪橇;用雪橇運輸
slight,(v.6),輕視;藐視
sneeze,(v.6),打噴嚏
sob,(v.3),嗚咽;啜泣
spare,(v.5),"分出,騰出(時間,人手)"
spark,(v.5),發動;點燃
sparkle,(v.7),發火花;閃耀;煥發
spear,(v.5),"刺,戳"
split,(v.5),劈開;切開
stem,(v.4),"起源於,由...而造成"
strengthen,(v.10),加強;增強
strive,(v.6),"努力,苦幹,奮鬥;反抗,鬥爭"
stroke,(v.6),畫短線於
summarize,(v.9),"總結,概述,概括"
surf,(v.4),衝浪;在網路或頻道上搜索資料
surrender,(v.9),"使投降,使自首"
sway,(v.4),搖動;搖擺;影響
tap,(v.3),"輕拍,輕叩"
telegraph,(v.9),用電報發送;電匯;電購
tense,(v.5),"使拉緊,使繃緊"
terrify,(v.7),使害怕;使恐怖
tolerate,(v.8),忍受;寬恕;容許
transfer,(v.8),轉換;調動
transform,(v.9),使改變;使轉化
translate,(v.9),翻譯
triumph,(v.7),獲得勝利
twinkle,(v.7),(星等)閃爍;閃耀
upload,(v.6),[電腦]上載
urge,(v.4),催促;力勸
violate,(v.7),違犯;擾亂
volunteer,(v.9),自願(做)
voyage,(v.6),航行;旅行
withdraw,(v.8),提取;撤離
witness,(v.7),目擊;為...作證
wreck,(v.5),遇難;受到破壞
wrinkle,(v.7),起皺紋
counter,(adv.7),"反方向地,相反地"
elsewhere,(adv.9),在別處;往別處
furthermore,(adv.11),"而且,此外,再者"
highly,(adv.6),"非常,很,高度地"
largely,(adv.7),大部分;主要地;大量地
lately,(adv.6),"近來,最近;不久前"
leisurely,(adv.9),"從容不迫地,慢慢地"
monthly,(adv.7),每月;每月一次
moreover,(adv.8),"並且,加之,此外"
mostly,(adv.6),"一般地,通常"
namely,(adv.6),"即,那就是"
nowadays,(adv.8),"現今,時下"
otherwise,(adv.9),"除此以外;否則,不然"
overnight,(adv.9),一整夜的
roughly,(adv.7),粗糙地;粗暴地;大約
scarcely,(adv.8),"幾乎不,幾乎沒有"
weekly,(adv.6),每週
yearly,(adv.6),一年一度
amid,(prep.4),在...之間;在...之中
amidst,(prep.6),在...之中;在...中間
concerning,(prep.10),關於
despite,(prep.7),"不管,儘管,任憑"
including,(prep.9),包括
regarding,(prep.9),關於;就...而論
abdomen,(n.7),下腹
accent,(n.6),重音;腔調
acceptance,(n.10),"接受;領受;(票據等的)承兌,認付"
access,(n.6),通道;入口;門路
accomplishment,(n.14),成就;成績;造詣;實現
accountant,(n.10),會計師
accuracy,(n.8),正確(性);準確(性)
acid,(n.4),(化學)酸
acquaintance,(n.12),相識的人
acre,(n.4),英畝
adjective,(n.9),形容詞
adjustment,(n.10),調節;調整
admiration,(n.10),欽佩;羨慕
admission,(n.9),進入許可;入場費;承認
adverb,(n.6),副詞
agency,(n.6),仲介;代理
agent,(n.5),代理人;代理商
alcohol,(n.7),酒精;酒
alert,(n.5),"警戒,警報;警戒狀態"
allowance,(n.9),"津貼,零用錢"
aluminum,(n.8),鋁
amateur,(n.7),業餘從事者;外行
amusement,(n.9),樂趣;消遣
analysis,(n.8),分析
ancestor,(n.8),"祖宗,祖先"
anniversary,(n.11),周年紀念日
anxiety,(n.7),"焦慮,掛念"
apology,(n.7),道歉
appliance,(n.9),"用具;裝置,設備"
applicant,(n.9),申請人
application,(n.11),申請
appointment,(n.11),(尤指正式的)約會;約定
appreciation,(n.12),"欣賞,鑑賞;賞識"
approval,(n.8),批准;認可
arch,(n.4),"拱門,拱形"
arms,(n.4),武器;戰爭;戰鬥;兵役
article,(n.7),文章;條款
aspect,(n.6),"方面,觀點"
aspirin,(n.7),阿斯匹靈(解熱鎮痛藥)
assembly,(n.8),集會;集合
assignment,(n.10),(分派的)任務;工作;(課外)作業
assistance,(n.10),"幫助,協助"
associate,(n.9),夥伴;同事
association,(n.11),"協會,公會,社團"
assurance,(n.9),保證
atmosphere,(n.10),大氣;氣氛
atom,(n.4),原子
attachment,(n.10),連接;安裝;附著;附屬物;附件;扣押;扣押令
attraction,(n.10),吸引;吸引力
authority,(n.9),職權;官方
autobiography,(n.13),自傳
backpack,(n.8),背包
ballet,(n.6),芭蕾舞
bankrupt,(n.8),破產者;赤貧者
bargain,(n.7),交易;廉價
barrier,(n.7),障礙物;路障
basin,(n.5),臉盆;盆地
battery,(n.7),電池
beak,(n.4),鳥嘴
beam,(n.4),橫樑;光束
behavior,(n.8),行為
biography,(n.9),傳記
biology,(n.7),生物學
blade,(n.5),刀片;葉片;葉片狀物
blend,(n.5),"混合,混雜;交融;混合物"
blessing,(n.8),祈神賜福;祝福
blink,(n.5),眨眼睛;一瞬間
bloom,(n.5),開花
blossom,(n.7),花;開花
blush,(n.5),臉紅
boast,(n.5),吹牛;大話
bond,(n.4),結合力;束縛
bounce,(n.6),"彈,反彈"
bra,(n.3),奶罩
bracelet,(n.8),手鐲;臂鐲
brassiere,(n.9),胸罩
breed,(n.5),品種
bridegroom,(n.10),新郎
bulletin,(n.8),公報;公告
cabinet,(n.7),"櫥,櫃;內閣"
calculation,(n.11),"計算;估計,推測;盤算"
calculator,(n.10),計算機
calorie,(n.7),卡路里
campaign,(n.8),"運動,活動"
candidate,(n.9),候選人;候補者
capacity,(n.8),"容量,容積"
cape,(n.4),"岬,海角"
capitalism,(n.10),資本主義
capitalist,(n.10),資本主義者
career,(n.6),職業;生涯;歷程
cargo,(n.5),(船、飛機、車輛裝載的)貨物
carrier,(n.7),運送人;從事運輸業公司;帶菌者
catalog,(n.7),目錄
catalogue,(n.9),"目錄;大學概況一覽;登記,記載"
CD,(n.2),激光唱片
cease,(n.5),停息
celebration,(n.11),慶祝
cement,(n.6),水泥
chamber,(n.7),"室,房間;議院"
championship,(n.12),冠軍的地位
characteristic,(n.14),"特性,特徵"
charity,(n.7),施捨;善舉
chemistry,(n.9),化學
chirp,(n.5),啁啾聲;唧唧聲
chore,(n.5),家庭雜務
chorus,(n.6),合唱隊
cigar,(n.5),雪茄煙
cinema,(n.6),電影院;電影;電影業
circulation,(n.11),發行量
circumstance,(n.12),境況;境遇
civilian,(n.8),"平民,百姓"
civilization,(n.12),文明
clash,(n.5),"碰撞聲,鏗鏘聲"
classification,(n.14),分類;分級
cliff,(n.5),"懸崖,峭壁"
climax,(n.6),"頂點,最高點"
code,(n.4),法規;代碼;電碼
collapse,(n.8),倒塌
combination,(n.11),組合
comedy,(n.6),喜劇
comic,(n.5),漫畫
commander,(n.9),"指揮官,司令官"
comment,(n.7),評論
commerce,(n.8),"商業,貿易,交易"
communication,(n.13),交往;通信
community,(n.9),社區
compact disk,(n.12),光碟
companion,(n.9),"同伴,伴侶"
competition,(n.11),"競爭,角逐"
competitor,(n.10),競爭者;對手
composer,(n.8),作曲家
composition,(n.11),寫作;作曲;作品;作文
concentration,(n.13),專心;濃縮
